한식,중식,일식,양식,아시안,패스트푸드,스낵/카페/디저트,금융,면세점(명품브랜드),면세점(향수/화장품),면세점(주류/담배),휴대폰로밍,가격대(만원),Label,거리(m),게이트거리(m),총거리(m),위도,경도,매장명,Sector
0,0,0,0,0,0,0,0,0,0,1,0,3.0,5,,27.55671961651804,,37.453425,126.451203,롯데면세점1(주류/담배),5
0,0,0,0,0,0,0,0,0,0,1,0,2.8,5,,369.5727418899115,,37.450783,126.453776,롯데면세점2(주류/담배),6
0,0,0,0,0,0,0,0,0,0,1,0,3.2,5,,361.3020899715266,,37.450371,126.452278,롯데면세점3(주류/담배),4
0,0,0,0,0,0,0,0,1,0,0,0,115.0,0,,362.8300887539492,,37.450294,126.451366,신라면세점1(명품브랜드),4
0,0,0,0,0,0,0,0,1,0,0,0,150.0,0,,338.8484088074811,,37.450618,126.452487,신라면세점2(명품브랜드),4
0,0,0,0,0,0,0,0,1,0,0,0,120.0,0,,294.0249734154072,,37.450988,126.452262,신라면세점3(명품브랜드),5
0,0,0,0,0,0,0,0,0,1,0,0,4.7,4,,918.70540990188,,37.445819,126.447817,신라면세점3(향수/화장품),2
0,0,0,0,0,0,0,0,0,1,0,0,5.1,4,,732.5795190584578,,37.447527,126.448122,신라면세점4(향수/화장품),2
0,0,0,0,0,0,0,0,0,1,0,0,6.2,4,,658.4027432516019,,37.448143,126.448445,신라면세점5(향수/화장품),2
0,0,0,0,0,0,0,0,1,0,0,0,180.0,0,,452.41250124518325,,37.449575,126.45041,신세계면세점1(명품브랜드),4
0,0,0,0,0,0,0,0,1,0,0,0,175.0,0,,435.83525080971117,,37.449694,126.450625,신세계면세점2(명품브랜드),4
0,0,0,0,0,0,0,0,1,0,0,0,154.0,0,,405.9465566513733,,37.449958,126.45068899999998,신세계면세점3(명품브랜드),4
0,0,0,0,0,0,0,0,1,0,0,0,160.0,0,,422.1050024360518,,37.449856,126.450399,신세계면세점4(명품브랜드),4
0,0,0,0,0,0,0,0,1,0,0,0,120.0,0,,377.7476789041884,,37.450181,126.45098,신세계면세점5(명품브랜드),4
0,0,0,0,0,0,0,0,1,0,0,0,118.0,0,,519.6656542300134,,37.449123,126.449604,신세계면세점6(명품브랜드),4
0,0,0,0,0,0,0,0,1,0,0,0,131.0,0,,543.306779853742,,37.448954,126.4494,신세계면세점7(명품브랜드),4
0,0,0,0,0,0,0,0,1,0,0,0,123.0,0,,620.0134243628993,,37.448388,126.448831,신세계면세점8(명품브랜드),4
0,0,0,0,0,0,0,0,1,0,0,0,137.0,0,,581.9248212623451,,37.449463,126.44736,신세계면세점9(명품브랜드),3
0,0,0,0,0,0,0,0,0,1,0,0,6.7,4,,376.32404246087367,,37.45071,126.453775,신세계면세점10(향수/화장품),6
